In this novel,about_the_book
In this edition,about_the_book
In this book,about_the_book
In this title,about_the_book
They are so good,actor-director_author-or_artist
I listen to (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9),Album_or_Artist
I listen to (A-Z)(a-z)(0-9),Album_or_Artist
(A-Z)(a-z)(0-9) is a masterpiece!,Book_or_album_or_movie_or_game
such a great story,Book_or_movie
kept me guessing until the end,Book_or_movie
my favorite title is (A-Z)(a-z)(0-9),Book_or_movie
my favourite title is (A-Z)(a-z)(0-9),Book_or_movie
(A-Z)(a-z)(0-9) is the best title,Book_or_movie
so funny,Book_or_movie
Bored,Bored
The D button,Button
The A button,Button
This button is a mystery.....,Button
More button,Button
Yet another button,Button
Another button,Button
button,Button
The B button,Button
The C button,Button
I collect buttons,Button
new partner and new stepkids,Causes-life_changing_event
break-up,Causes-life_changing_event
new job,Causes-life_changing_event
divorce,Causes-life_changing_event
seperation,Causes-life_changing_event
moving,Causes-life_changing_event
partner is pregnant,Causes-life_changing_event
I'm pregnant,Causes-life_changing_event
new partner,Causes-life_changing_event
new baby,Causes-life_changing_event
baby on the way,Causes-life_changing_event
new stepkids,Causes-life_changing_event
changes on the way,Causes-life_changing_event
Marriage,Causes-life_changing_event
new,Causes-life_changing_event
married,Causes-life_changing_event
baby,Causes-life_changing_event
under pressure,causes-pressure
pressure,causes-pressure
I have so many demands,causes-pressure
I have so many multiple competing demands,causes-pressure
broke,cause-uncertain
nothing is going right,cause-uncertain
times are tough,cause-uncertain
budget,cause-uncertain
finances,cause-uncertain
finance,cause-uncertain
money,cause-uncertain
Not enough money,cause-uncertain
I am concerned about my budget,cause-uncertain
I am worried about my budget,cause-uncertain
I may end up homeless,cause-uncertain
My lease is ending,cause-uncertain
I just don't know any more,cause-uncertain
I'm sick,cause-uncertain
I have ill-helath,cause-uncertain
My partner is sick,cause-uncertain
My kid is sick,cause-uncertain
My child is sick,cause-uncertain
kid on the way,cause-uncertain
I have a sick kid,cause-uncertain
I have a sick child,cause-uncertain
One of my kids is isck,cause-uncertain
One of my children is sick,cause-uncertain
I'm not enough,cause-uncertain
I'm tired,cause-uncertain
overwhelmed,cause-work_life_balance
I feel overwhelmed,cause-work_life_balance
I'm so time poor,cause-work_life_balance
I'm tired,cause-work_life_balance
I'm so exhausted,cause-work_life_balance
I'm exhausted,cause-work_life_balance
I never have time,cause-work_life_balance
cause-work_life_balance,cause-work_life_balance
I'm so tired,cause-work_life_balance
time poor,cause-work_life_balance
code-footy,codeFooty
codeFooty,codeFooty
code-motorsport,codeMoto
codeMoto,codeMoto
Great! I've won nearly every match this season!,doingWell
Great! I've won nearly every game this season!,doingWell
"We lost, but we have a good ladder position",doingWell
"We won our last game, and their position on the ladder is (A-Z)(a-z)(0-9)",doingWell
doingWell,doingWell
I haven't lost yet,doingWell
I am yet to lose,doingWell
So-so,doingWell
I'm doing ok,doingWell
I'm doing OK so far,doingWell
Great! I've won nearly every tournament this season!,doingWell
I've won nearly every game this season!,doingWell
Great! I've won nearly every session this season!,doingWell
I have children,family
I have a family,family
family,family
I have kids,family
stressful,family-about-negative
they take up all my time,family-about-negative
they are stressing me out,family-about-negative
Everyone is 100%,family-about-positive
Everyone is great,family-about-positive
Everyone is happy,family-about-positive
(A-Z)(a-z)(0-9) is the greatest album,fav-album-answer
my favorite album is,fav-album-answer
my favourite album is,fav-album-answer
(A-Z)(a-z)(0-9) is the best album ever,fav-album-answer
(A-Z)(a-z)(0-9) is the best album,fav-album-answer
(A-Z)(a-z)(0-9) is the greatest album ever,fav-album-answer
They really know how to write,fav-Author
(A-Z)(a-z)(0-9) is the best author,fav-Author
(A-Z)(a-z)(0-9) wrote the book ever,fav-Author
my favourite author is,fav-Author
(A-Z)(a-z)(0-9) is the greatest author ever,fav-Author
my favourite author is (A-Z)(a-z)(0-9),fav-Author
(A-Z)(a-z)(0-9) is the author,fav-Author
(A-Z)(a-z)(0-9) is the greatest authorr,fav-Author
(A-Z)(a-z)(0-9) is the greatest author,fav-Author
fav-book-genre,fav-book-genre
(A-Z)(a-z)(0-9) is the best director/actor,fav-director-or-actor
(A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9) really know how to act/direct,fav-director-or-actor
my favourite director/actor is (A-Z)(a-z)(0-9),fav-director-or-actor
(A-Z)(a-z)(0-9) is the greatest director/actor ever,fav-director-or-actor
(A-Z)(a-z)(0-9) is the PC/Console greatest game,FavGame
FavGame,FavGame
(A-Z)(a-z)(0-9) is the best PC/Console game,FavGame
My favorite PC/Console game is,FavGame
(A-Z)(a-z)(0-9) is the greatest PC/Console game ever,FavGame
My favorite band is (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9),FavMusicArtist_Band-Answer
My fav band is (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9),FavMusicArtist_Band-Answer
My favorite band is,FavMusicArtist_Band-Answer
My favorite artist is (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9),FavMusicArtist_Band-Answer
