id,road_name,count,wgs84_latitude,wgs84_longitude,createdAt,updatedAt
1,Alfred Street,17385,-33.8395815,151.2112723,0000-00-00 00:00:00,0000-00-00 00:00:00
2,Argyle Street,8766,-33.817844,151.0052377,0000-00-00 00:00:00,0000-00-00 00:00:00
3,Arundel Street,3552,-33.8313259,151.1678523,0000-00-00 00:00:00,0000-00-00 00:00:00
4,Baptist Street,4286,-33.8939076,151.2121515,0000-00-00 00:00:00,0000-00-00 00:00:00
5,Bayswater Road,1547,-33.8767078,151.231641,0000-00-00 00:00:00,0000-00-00 00:00:00
6,Bent Street,4631,-33.8652656,151.2116202,0000-00-00 00:00:00,0000-00-00 00:00:00
7,Botany Road,4128,-33.9390625,151.194747,0000-00-00 00:00:00,0000-00-00 00:00:00
8,Bourke Street,10769,-33.9048732,151.2040518,0000-00-00 00:00:00,0000-00-00 00:00:00
9,Bridge Street,23079,-33.6043052,150.8232428,0000-00-00 00:00:00,0000-00-00 00:00:00
10,Broadway,36500,-33.884552,151.1939728,0000-00-00 00:00:00,0000-00-00 00:00:00
11,Burton Street,4557,-33.8785658,151.2162839,0000-00-00 00:00:00,0000-00-00 00:00:00
12,Chalmers Street,15977,-33.8901656,151.2059856,0000-00-00 00:00:00,0000-00-00 00:00:00
13,City Road,7650,-33.8894258,151.1903227,0000-00-00 00:00:00,0000-00-00 00:00:00
14,Cleveland Street,9033,-33.88834,151.1969754,0000-00-00 00:00:00,0000-00-00 00:00:00
15,Cowper Wharf Road,5019,-33.8673223,151.2232359,0000-00-00 00:00:00,0000-00-00 00:00:00
16,Craigend Road,1083,-33.7172165,150.341435,0000-00-00 00:00:00,0000-00-00 00:00:00
17,Crown Street,26502,-33.8879189,151.2135135,0000-00-00 00:00:00,0000-00-00 00:00:00
18,Customs House Forecourt,12971,-33.863068,151.209773,0000-00-00 00:00:00,0000-00-00 00:00:00
19,Darlinghurst Road,7742,-33.8784771,151.2202551,0000-00-00 00:00:00,0000-00-00 00:00:00
20,Darlinghust Road,43061,-33.868633,151.209421,0000-00-00 00:00:00,0000-00-00 00:00:00
21,Druitt Street,46067,-33.8727797,151.2051353,0000-00-00 00:00:00,0000-00-00 00:00:00
22,Elizabeth Street,64742,-33.8798661,151.2090504,0000-00-00 00:00:00,0000-00-00 00:00:00
