station_id,suburb,road_name,period,traffic_count,wgs84_latitude,wgs84_longitude,createdAt,updatedAt
1,Sydney,Sydney Harbour Tunnel,ALL DAYS,89163,-33.860836,151.213791,0000-00-00 00:00:00,0000-00-00 00:00:00
2,Sydney,Sydney Harbour Tunnel,AM PEAK,24998,-33.860836,151.213791,0000-00-00 00:00:00,0000-00-00 00:00:00
3,Sydney,Sydney Harbour Tunnel,OFF PEAK,43575,-33.860836,151.213791,0000-00-00 00:00:00,0000-00-00 00:00:00
4,Sydney,Sydney Harbour Tunnel,PM PEAK,23367,-33.860836,151.213791,0000-00-00 00:00:00,0000-00-00 00:00:00
5,Newtown,Enmore Road,ALL DAYS,28335,-33.898201,151.177399,0000-00-00 00:00:00,0000-00-00 00:00:00
6,Newtown,Enmore Road,AM PEAK,6526,-33.898201,151.177399,0000-00-00 00:00:00,0000-00-00 00:00:00
7,Newtown,Enmore Road,OFF PEAK,14554,-33.898201,151.177399,0000-00-00 00:00:00,0000-00-00 00:00:00
8,Newtown,Enmore Road,PM PEAK,7435,-33.898201,151.177399,0000-00-00 00:00:00,0000-00-00 00:00:00
9,Alexandria,O'riordan Street,ALL DAYS,25358,-33.907532,151.200974,0000-00-00 00:00:00,0000-00-00 00:00:00
10,Alexandria,O'riordan Street,AM PEAK,6625,-33.907532,151.200974,0000-00-00 00:00:00,0000-00-00 00:00:00
11,Alexandria,O'riordan Street,OFF PEAK,13409,-33.907532,151.200974,0000-00-00 00:00:00,0000-00-00 00:00:00
12,Alexandria,O'riordan Street,PM PEAK,6790,-33.907532,151.200974,0000-00-00 00:00:00,0000-00-00 00:00:00
13,Darlinghurst,Crown Street,ALL DAYS,9641,-33.874722,151.216217,0000-00-00 00:00:00,0000-00-00 00:00:00
14,Darlinghurst,Crown Street,AM PEAK,2063,-33.874722,151.216217,0000-00-00 00:00:00,0000-00-00 00:00:00
15,Darlinghurst,Crown Street,OFF PEAK,5378,-33.874722,151.216217,0000-00-00 00:00:00,0000-00-00 00:00:00
16,Darlinghurst,Crown Street,PM PEAK,2276,-33.874722,151.216217,0000-00-00 00:00:00,0000-00-00 00:00:00
17,South Grafton,Craig Street,ALL DAYS,23117,-29.697966,152.942108,0000-00-00 00:00:00,0000-00-00 00:00:00
18,South Grafton,Craig Street,AM PEAK,5367,-29.697966,152.942108,0000-00-00 00:00:00,0000-00-00 00:00:00
19,South Grafton,Craig Street,OFF PEAK,12438,-29.697966,152.942108,0000-00-00 00:00:00,0000-00-00 00:00:00
20,South Grafton,Craig Street,PM PEAK,6782,-29.697966,152.942108,0000-00-00 00:00:00,0000-00-00 00:00:00
21,Pinny Beach,Pacific Highway,ALL DAYS,19779,-33.100418,151.629105,0000-00-00 00:00:00,0000-00-00 00:00:00
22,Pinny Beach,Pacific Highway,AM PEAK,5448,-33.100418,151.629105,0000-00-00 00:00:00,0000-00-00 00:00:00
23,Pinny Beach,Pacific Highway,OFF PEAK,8940,-33.100418,151.629105,0000-00-00 00:00:00,0000-00-00 00:00:00
24,Pinny Beach,Pacific Highway,PM PEAK,6164,-33.100418,151.629105,0000-00-00 00:00:00,0000-00-00 00:00:00
25,Blue Haven,Pacific Highway,ALL DAYS,20324,-33.208641,151.516586,0000-00-00 00:00:00,0000-00-00 00:00:00
26,Blue Haven,Pacific Highway,AM PEAK,5277,-33.208641,151.516586,0000-00-00 00:00:00,0000-00-00 00:00:00
27,Blue Haven,Pacific Highway,OFF PEAK,10188,-33.208641,151.516586,0000-00-00 00:00:00,0000-00-00 00:00:00
28,Blue Haven,Pacific Highway,PM PEAK,6194,-33.208641,151.516586,0000-00-00 00:00:00,0000-00-00 00:00:00
29,Millers Forest,Raymond Terrace Road,ALL DAYS,10226,-32.752235,151.72522,0000-00-00 00:00:00,0000-00-00 00:00:00
30,Millers Forest,Raymond Terrace Road,AM PEAK,3048,-32.752235,151.72522,0000-00-00 00:00:00,0000-00-00 00:00:00
31,Millers Forest,Raymond Terrace Road,OFF PEAK,4774,-32.752235,151.72522,0000-00-00 00:00:00,0000-00-00 00:00:00
32,Millers Forest,Raymond Terrace Road,PM PEAK,3518,-32.752235,151.72522,0000-00-00 00:00:00,0000-00-00 00:00:00
33,Milbrodale,Putty Road,ALL DAYS,659,-32.694839,150.989945,0000-00-00 00:00:00,0000-00-00 00:00:00
34,Milbrodale,Putty Road,AM PEAK,124,-32.694839,150.989945,0000-00-00 00:00:00,0000-00-00 00:00:00
35,Milbrodale,Putty Road,OFF PEAK,322,-32.694839,150.989945,0000-00-00 00:00:00,0000-00-00 00:00:00
36,Milbrodale,Putty Road,PM PEAK,163,-32.694839,150.989945,0000-00-00 00:00:00,0000-00-00 00:00:00
37,Abermain,Cessnock Road,ALL DAYS,15702,-32.821819,151.419708,0000-00-00 00:00:00,0000-00-00 00:00:00
38,Abermain,Cessnock Road,AM PEAK,4007,-32.821819,151.419708,0000-00-00 00:00:00,0000-00-00 00:00:00
39,Abermain,Cessnock Road,OFF PEAK,7835,-32.821819,151.419708,0000-00-00 00:00:00,0000-00-00 00:00:00
40,Abermain,Cessnock Road,PM PEAK,4855,-32.821819,151.419708,0000-00-00 00:00:00,0000-00-00 00:00:00
41,Freemans Waterhole,Freemans Drive,ALL DAYS,10226,-32.97062683,151.4822235,0000-00-00 00:00:00,0000-00-00 00:00:00
42,Freemans Waterhole,Freemans Drive,AM PEAK,2203,-32.97062683,151.4822235,0000-00-00 00:00:00,0000-00-00 00:00:00
43,Freemans Waterhole,Freemans Drive,OFF PEAK,4713,-32.97062683,151.4822235,0000-00-00 00:00:00,0000-00-00 00:00:00
44,Freemans Waterhole,Freemans Drive,PM PEAK,2740,-32.97062683,151.4822235,0000-00-00 00:00:00,0000-00-00 00:00:00
45,Charlestown,Pacific Highway,ALL DAYS,28005,-32.963619,151.695831,0000-00-00 00:00:00,0000-00-00 00:00:00
46,Charlestown,Pacific Highway,AM PEAK,7516,-32.963619,151.695831,0000-00-00 00:00:00,0000-00-00 00:00:00
47,Charlestown,Pacific Highway,OFF PEAK,13372,-32.963619,151.695831,0000-00-00 00:00:00,0000-00-00 00:00:00
48,Charlestown,Pacific Highway,PM PEAK,9222,-32.963619,151.695831,0000-00-00 00:00:00,0000-00-00 00:00:00
49,New Lambton Heights,Lookout Road,ALL DAYS,43060,-32.92556,151.696289,0000-00-00 00:00:00,0000-00-00 00:00:00
50,New Lambton Heights,Lookout Road,AM PEAK,11984,-32.92556,151.696289,0000-00-00 00:00:00,0000-00-00 00:00:00
