station_id,suburb,road_name,period,traffic_count,wgs84_latitude,wgs84_longitude
1,Sydney,Sydney Harbour Tunnel,ALL DAYS,89163,-33.860836,151.213791
2,Sydney,Sydney Harbour Tunnel,AM PEAK,24998,-33.860836,151.213791
3,Sydney,Sydney Harbour Tunnel,OFF PEAK,43575,-33.860836,151.213791
4,Sydney,Sydney Harbour Tunnel,PM PEAK,23367,-33.860836,151.213791
5,Newtown,Enmore Road,ALL DAYS,28335,-33.898201,151.177399
6,Newtown,Enmore Road,AM PEAK,6526,-33.898201,151.177399
7,Newtown,Enmore Road,OFF PEAK,14554,-33.898201,151.177399
8,Newtown,Enmore Road,PM PEAK,7435,-33.898201,151.177399
9,Alexandria,O'riordan Street,ALL DAYS,25358,-33.907532,151.200974
10,Alexandria,O'riordan Street,AM PEAK,6625,-33.907532,151.200974
11,Alexandria,O'riordan Street,OFF PEAK,13409,-33.907532,151.200974
12,Alexandria,O'riordan Street,PM PEAK,6790,-33.907532,151.200974
13,Darlinghurst,Crown Street,ALL DAYS,9641,-33.874722,151.216217
14,Darlinghurst,Crown Street,AM PEAK,2063,-33.874722,151.216217
15,Darlinghurst,Crown Street,OFF PEAK,5378,-33.874722,151.216217
16,Darlinghurst,Crown Street,PM PEAK,2276,-33.874722,151.216217
17,South Grafton,Craig Street,ALL DAYS,23117,-29.697966,152.942108
18,South Grafton,Craig Street,AM PEAK,5367,-29.697966,152.942108
19,South Grafton,Craig Street,OFF PEAK,12438,-29.697966,152.942108
20,South Grafton,Craig Street,PM PEAK,6782,-29.697966,152.942108
21,Pinny Beach,Pacific Highway,ALL DAYS,19779,-33.100418,151.629105
22,Pinny Beach,Pacific Highway,AM PEAK,5448,-33.100418,151.629105
23,Pinny Beach,Pacific Highway,OFF PEAK,8940,-33.100418,151.629105
24,Pinny Beach,Pacific Highway,PM PEAK,6164,-33.100418,151.629105
25,Blue Haven,Pacific Highway,ALL DAYS,20324,-33.208641,151.516586
26,Blue Haven,Pacific Highway,AM PEAK,5277,-33.208641,151.516586
27,Blue Haven,Pacific Highway,OFF PEAK,10188,-33.208641,151.516586
28,Blue Haven,Pacific Highway,PM PEAK,6194,-33.208641,151.516586
29,Millers Forest,Raymond Terrace Road,ALL DAYS,10226,-32.752235,151.72522
30,Millers Forest,Raymond Terrace Road,AM PEAK,3048,-32.752235,151.72522
31,Millers Forest,Raymond Terrace Road,OFF PEAK,4774,-32.752235,151.72522
32,Millers Forest,Raymond Terrace Road,PM PEAK,3518,-32.752235,151.72522
33,Milbrodale,Putty Road,ALL DAYS,659,-32.694839,150.989945
34,Milbrodale,Putty Road,AM PEAK,124,-32.694839,150.989945
35,Milbrodale,Putty Road,OFF PEAK,322,-32.694839,150.989945
36,Milbrodale,Putty Road,PM PEAK,163,-32.694839,150.989945
37,Abermain,Cessnock Road,ALL DAYS,15702,-32.821819,151.419708
38,Abermain,Cessnock Road,AM PEAK,4007,-32.821819,151.419708
39,Abermain,Cessnock Road,OFF PEAK,7835,-32.821819,151.419708
40,Abermain,Cessnock Road,PM PEAK,4855,-32.821819,151.419708
41,Freemans Waterhole,Freemans Drive,ALL DAYS,10226,-32.97062683,151.4822235
42,Freemans Waterhole,Freemans Drive,AM PEAK,2203,-32.97062683,151.4822235
43,Freemans Waterhole,Freemans Drive,OFF PEAK,4713,-32.97062683,151.4822235
44,Freemans Waterhole,Freemans Drive,PM PEAK,2740,-32.97062683,151.4822235
45,Charlestown,Pacific Highway,ALL DAYS,28005,-32.963619,151.695831
46,Charlestown,Pacific Highway,AM PEAK,7516,-32.963619,151.695831
47,Charlestown,Pacific Highway,OFF PEAK,13372,-32.963619,151.695831
48,Charlestown,Pacific Highway,PM PEAK,9222,-32.963619,151.695831
49,New Lambton Heights,Lookout Road,ALL DAYS,43060,-32.92556,151.696289
50,New Lambton Heights,Lookout Road,AM PEAK,11984,-32.92556,151.696289
51,New Lambton Heights,Lookout Road,OFF PEAK,21656,-32.92556,151.696289
52,New Lambton Heights,Lookout Road,PM PEAK,13398,-32.92556,151.696289
53,Waratah,Maud Street,ALL DAYS,18938,-32.896118,151.720154
54,Waratah,Maud Street,AM PEAK,5085,-32.896118,151.720154
55,Waratah,Maud Street,OFF PEAK,11081,-32.896118,151.720154
56,Waratah,Maud Street,PM PEAK,5824,-32.896118,151.720154
57,Argenton,Lake Road,ALL DAYS,25406,-32.941467,151.624649
58,Argenton,Lake Road,AM PEAK,6311,-32.941467,151.624649
59,Argenton,Lake Road,OFF PEAK,13185,-32.941467,151.624649
60,Argenton,Lake Road,PM PEAK,7847,-32.941467,151.624649
61,Redhead,Red Head Road,ALL DAYS,9074,-33.00746536,151.7157898
62,Redhead,Red Head Road,AM PEAK,2378,-33.00746536,151.7157898
63,Redhead,Red Head Road,OFF PEAK,4247,-33.00746536,151.7157898
64,Redhead,Red Head Road,PM PEAK,2911,-33.00746536,151.7157898
65,Belmont,Croudace Bay Road,ALL DAYS,12386,-33.025345,151.650024
66,Belmont,Croudace Bay Road,AM PEAK,3053,-33.025345,151.650024
67,Belmont,Croudace Bay Road,OFF PEAK,5963,-33.025345,151.650024
68,Belmont,Croudace Bay Road,PM PEAK,3889,-33.025345,151.650024
69,Denman,Palace Street,ALL DAYS,2799,-32.380688,150.690872
70,Denman,Palace Street,AM PEAK,589,-32.380688,150.690872
71,Denman,Palace Street,OFF PEAK,1517,-32.380688,150.690872
72,Denman,Palace Street,PM PEAK,765,-32.380688,150.690872
73,Glendale,Main Road,ALL DAYS,23792,-32.928658,151.641113
74,Glendale,Main Road,AM PEAK,7029,-32.928658,151.641113
75,Glendale,Main Road,OFF PEAK,11358,-32.928658,151.641113
76,Glendale,Main Road,PM PEAK,7946,-32.928658,151.641113
77,Kooragang,Nelson Bay Road,ALL DAYS,25261,-32.884647,151.786591
78,Kooragang,Nelson Bay Road,AM PEAK,7357,-32.884647,151.786591
79,Kooragang,Nelson Bay Road,OFF PEAK,11908,-32.884647,151.786591
80,Kooragang,Nelson Bay Road,PM PEAK,7896,-32.884647,151.786591
81,Braemar,Old Hume Highway,ALL DAYS,19993,-34.432686,150.480286
82,Braemar,Old Hume Highway,AM PEAK,4903,-34.432686,150.480286
83,Braemar,Old Hume Highway,OFF PEAK,9471,-34.432686,150.480286
84,Braemar,Old Hume Highway,PM PEAK,6109,-34.432686,150.480286
85,Macquarie Pass,Illawarra Highway,ALL DAYS,3676,-34.566525,150.662857
86,Macquarie Pass,Illawarra Highway,AM PEAK,903,-34.566525,150.662857
87,Macquarie Pass,Illawarra Highway,OFF PEAK,1596,-34.566525,150.662857
88,Macquarie Pass,Illawarra Highway,PM PEAK,1160,-34.566525,150.662857
89,Spring Hill,Five Islands Road,ALL DAYS,37624,-34.465855,150.874085
90,Spring Hill,Five Islands Road,AM PEAK,10473,-34.465855,150.874085
91,Spring Hill,Five Islands Road,OFF PEAK,20099,-34.465855,150.874085
92,Spring Hill,Five Islands Road,PM PEAK,10480,-34.465855,150.874085
93,Gerringong,Fern Street,ALL DAYS,11583,-34.75335693,150.8264313
94,Gerringong,Fern Street,AM PEAK,2551,-34.75335693,150.8264313
95,Gerringong,Fern Street,OFF PEAK,5256,-34.75335693,150.8264313
96,Gerringong,Fern Street,PM PEAK,3428,-34.75335693,150.8264313
97,Port Kembla,Illawarra Street,ALL DAYS,7039,-34.48645,150.901474
98,Port Kembla,Illawarra Street,AM PEAK,1563,-34.48645,150.901474
99,Port Kembla,Illawarra Street,OFF PEAK,3779,-34.48645,150.901474
100,Port Kembla,Illawarra Street,PM PEAK,2117,-34.48645,150.901474
101,Sutton Forest,Hume Highway,ALL DAYS,22634,-34.617638,150.214416
102,Sutton Forest,Hume Highway,AM PEAK,4511,-34.617638,150.214416
103,Sutton Forest,Hume Highway,OFF PEAK,12068,-34.617638,150.214416
104,Sutton Forest,Hume Highway,PM PEAK,5502,-34.617638,150.214416
105,Falls Creek,Jervis Bay Road,ALL DAYS,8614,-34.986893,150.592178
106,Falls Creek,Jervis Bay Road,AM PEAK,2277,-34.986893,150.592178
107,Falls Creek,Jervis Bay Road,OFF PEAK,4067,-34.986893,150.592178
108,Falls Creek,Jervis Bay Road,PM PEAK,2616,-34.986893,150.592178
109,Figtree,Princes Highway,ALL DAYS,26887,-34.439182,150.85762
110,Figtree,Princes Highway,AM PEAK,6357,-34.439182,150.85762
111,Figtree,Princes Highway,OFF PEAK,13145,-34.439182,150.85762
112,Figtree,Princes Highway,PM PEAK,8799,-34.439182,150.85762
113,Menangle Park,Hume Motorway,ALL DAYS,52107,-34.115025,150.759109
114,Menangle Park,Hume Motorway,AM PEAK,12402,-34.115025,150.759109
115,Menangle Park,Hume Motorway,OFF PEAK,26184,-34.115025,150.759109
116,Menangle Park,Hume Motorway,PM PEAK,14290,-34.115025,150.759109
117,Bulli,Princes Highway,ALL DAYS,13224,-34.320358,150.895767
118,Bulli,Princes Highway,AM PEAK,3363,-34.320358,150.895767
119,Bulli,Princes Highway,OFF PEAK,6380,-34.320358,150.895767
120,Bulli,Princes Highway,PM PEAK,3912,-34.320358,150.895767
121,Stony Creek,Princes Highway,ALL DAYS,3468,-36.627476,149.843384
122,Stony Creek,Princes Highway,AM PEAK,929,-36.627476,149.843384
123,Stony Creek,Princes Highway,OFF PEAK,1773,-36.627476,149.843384
124,Stony Creek,Princes Highway,PM PEAK,1034,-36.627476,149.843384
125,Stony Creek,Snowy Mountains Highway,ALL DAYS,1787,-36.631699,149.814713
126,Stony Creek,Snowy Mountains Highway,AM PEAK,428,-36.631699,149.814713
127,Stony Creek,Snowy Mountains Highway,OFF PEAK,867,-36.631699,149.814713
128,Stony Creek,Snowy Mountains Highway,PM PEAK,510,-36.631699,149.814713
129,North Batemans Bay,Princes Highway,ALL DAYS,8733,-35.699673,150.184463
130,North Batemans Bay,Princes Highway,AM PEAK,2046,-35.699673,150.184463
131,North Batemans Bay,Princes Highway,OFF PEAK,4375,-35.699673,150.184463
132,North Batemans Bay,Princes Highway,PM PEAK,2479,-35.699673,150.184463
133,Bodalla,Princes Highway,ALL DAYS,5191,-36.105434,150.056808
134,Bodalla,Princes Highway,AM PEAK,1174,-36.105434,150.056808
135,Bodalla,Princes Highway,OFF PEAK,2756,-36.105434,150.056808
136,Bodalla,Princes Highway,PM PEAK,1423,-36.105434,150.056808
137,Pine Valley,Snowy Mountains Highway,ALL DAYS,3590,-36.241871,149.064804
138,Pine Valley,Snowy Mountains Highway,AM PEAK,895,-36.241871,149.064804
139,Pine Valley,Snowy Mountains Highway,OFF PEAK,1713,-36.241871,149.064804
140,Pine Valley,Snowy Mountains Highway,PM PEAK,1109,-36.241871,149.064804
141,Bunyan,Monaro Highway,ALL DAYS,4343,-36.155613,149.151504
142,Bunyan,Monaro Highway,AM PEAK,920,-36.155613,149.151504
143,Bunyan,Monaro Highway,OFF PEAK,2104,-36.155613,149.151504
144,Bunyan,Monaro Highway,PM PEAK,1258,-36.155613,149.151504
145,Bombala,Monaro Highway,ALL DAYS,1134,-36.893013,149.239685
146,Bombala,Monaro Highway,AM PEAK,263,-36.893013,149.239685
147,Bombala,Monaro Highway,OFF PEAK,604,-36.893013,149.239685
